#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
32,Belgium,"4,511,590",,"32,625 ",,"4,436,232","+1,381","42,733",52,"386,654","2,796","35,440,277","3,037,319","11,668,278 ",Europe,33580,,,"3,662"
33,Canada,"4,216,141",,"44,740 ",,"4,100,674","+3,269","70,727",99,"109,828","1,165","64,759,986","1,686,967","38,388,419 ",North America,98581,,,"1,842"
34,Peru,"4,132,929",,"216,350 ",,"3,902,483","+1,524","14,096",166,"122,696","6,423","34,849,500","1,034,595","33,684,208 ",South America,81561,,,418
35,Czechia,"4,078,065","+3,786","40,967 ",+2,"4,019,569","+2,246","17,529",24,"379,822","3,816","56,120,515","5,226,939","10,736,784 ",Europe,32620,353,0.2,"1,633"
36,Switzerland,"4,053,996",,"14,171 ",,"3,991,727","+2,318","48,098",47,"462,066","1,615","22,207,189","2,531,127","8,773,637 ",Europe,26190,,,"5,482"
37,South Africa,"4,016,157",,"102,146 ",,"3,907,091",,"6,920",192,"66,103","1,681","26,174,429","430,811","60,756,135 ",Africa,155952,,,114
38,Philippines,"3,923,727",,"62,587 ",,"3,833,454",,"27,686",642,"34,875",556,"32,610,379","289,847","112,508,994 ",Asia,"291,7983",,,246
39,Romania,"3,256,352","+2,303","66,937 ",+12,"3,161,439","+1,170","27,976",124,"171,105","3,517","24,958,987","1,311,468","19,031,335 ",Europe,62841,121,0.6,"1,470"
40,Denmark,"3,102,420",,"7,004 ",,"3,087,366",,"8,050",,"531,696","1,200","128,319,973","21,991,615","5,834,950 ",Europe,28330,,,"1,380"
41,Sweden,"2,578,521",,"20,069 ",,"2,541,515",+402,"16,937",12,"252,327","1,964","18,916,006","1,851,068","10,218,971 ",Europe,45091,,,"1,657"
42,Iraq,"2,458,509",,"25,348 ",,"2,431,657",,"1,504",21,"58,307",601,"19,239,264","456,286","42,164,965 ",Asia,"171,6632",,,36
43,Serbia,"2,336,368",,"16,891 ",,"2,269,620",,"49,857",25,"270,006","1,952","10,902,339","1,259,947","8,653,016 ",Europe,45121,,,"5,762"
44,Hungary,"2,070,443",,"47,409 ",,"1,988,759",,"34,275",10,"215,531","4,935","11,394,556","1,186,160","9,606,259 ",Europe,52031,,,"3,568"
45,Bangladesh,"2,018,215",,"29,340 ",,"1,960,977",,"27,898","1,331","12,021",175,"14,827,360","88,318","167,885,689 ",Asia,"835,72211",,,166
46,Singapore,"1,876,584",,"1,608 ",,"1,799,882",,"75,094",10,"315,735",271,"24,345,019","4,096,043","5,943,546 ",Asia,"33,6960",,,"12,635"
47,Slovakia,"1,839,635",+422,"20,439 ",+3,"1,815,229",+337,"3,967",22,"336,918","3,743","7,287,222","1,334,609","5,460,193 ",Europe,32671,77,0.5,727
48,New Zealand,"1,769,694",,"2,909 ",,"1,758,138",,"8,647",,"361,295",594,"7,529,992","1,537,297","4,898,203 ",Australia/Oceania,"31,6841",,,"1,765"
49,Georgia,"1,762,206",,"16,900 ",,"1,637,293",,"108,013",,"444,022","4,258","16,920,079","4,263,340","3,968,738 ",Asia,22350,,,"27,216"
50,Jordan,"1,745,032",,"14,116 ",,"1,728,545",,"2,371",59,"169,406","1,370","17,188,470","1,668,643","10,300,869 ",Asia,67301,,,230
51,Hong Kong,"1,719,349","+5,594","9,908 ",+7,"1,412,017","+4,886","297,424",20,"226,102","1,303","54,352,132","7,147,553","7,604,299 ",Asia,47670,736,0.9,"39,113"
52,Ireland,"1,660,635",,"7,862 ",,"1,646,555",,"6,218",12,"330,791","1,566","12,682,485","2,526,291","5,020,199 ",Europe,36390,,,"1,239"
53,Pakistan,"1,571,936",+42,"30,607  ",,"1,535,895",,"5,434",73,"6,850",133,"30,377,898","132,372","229,488,994 ",Asia,"1467,4988",0.2,,24
54,Norway,"1,461,593",,"4,038 ",,"1,456,367",,"1,188",20,"265,196",733,"11,002,430","1,996,315","5,511,370 ",Europe,"41,3651",,,216
55,Kazakhstan,"1,392,618",+64,"13,690 ",,"1,366,147",+502,"12,781",24,"72,513",713,"11,575,012","602,707","19,205,043 ",Asia,"141,4032",3,,666
56,Finland,"1,277,473",,"5,858 ",,"1,256,264",+984,"15,351",21,"229,970","1,055","11,449,717","2,061,170","5,554,960 ",Europe,49480,,,"2,763"
57,Morocco,"1,264,785",,"16,277 ",,"1,248,351",,157,293,"33,484",431,"12,544,087","332,094","37,772,756 ",Africa,"302,3213",,,4
58,Bulgaria,"1,252,615",,"37,682  ",,"1,205,154",,"9,779",32,"183,008","5,505","10,514,091","1,536,115","6,844,597 ",Europe,51821,,,"1,429"
59,Lithuania,"1,238,195","+2,694","9,308 ",+2,"1,209,107","+1,005","19,780",12,"465,188","3,497","10,152,567","3,814,305","2,661,708 ",Europe,22860,"1,012",0.8,"7,431"
60,Croatia,"1,224,885",,"16,849 ",,"1,203,856",,"4,180",17,"301,749","4,151","5,192,090","1,279,065","4,059,286 ",Europe,32411,,,"1,030"
61,Lebanon,"1,213,769",,"10,657 ",,"1,087,587",,"115,525",74,"181,570","1,594","4,795,578","717,380","6,684,849 ",Asia,66271,,,"17,282"
62,Slovenia,"1,161,178","+3,430","6,808 ",+3,"1,127,668","+2,539","26,702",9,"558,787","3,276","2,736,103","1,316,679","2,078,034 ",Europe,23051,"1,651",1,"12,850"
63,Tunisia,"1,145,163",,"29,243 ",,N/A,N/A,N/A,99,"95,061","2,427","4,935,608","409,708","12,046,656 ",Africa,114122,,,491
64,Guatemala,"1,114,991",,"19,722 ",,"1,093,751",,"1,518",5,"59,997","1,061","5,786,376","311,363","18,584,039 ",North America,179423,,,82
65,Cuba,"1,111,045",,"8,530 ",,"1,102,363",,152,23,"98,273",754,"14,133,929","1,250,165","11,305,652 ",North America,"101,3251",,,13
66,Bolivia,"1,107,201",,"22,228 ",,"1,045,779",,"39,194",220,"92,323","1,853","2,705,422","225,590","11,992,656 ",South America,115404,,,"3,268"
67,Costa Rica,"1,072,807",,"8,913 ",,"860,711",,"203,183",52,"207,012","1,720","4,659,757","899,158","5,182,354 ",North America,55811,,,"39,207"
68,UAE,"1,023,719",+370,"2,342 ",,"1,003,086",+360,"18,291",,"101,541",232,"188,625,630","18,709,547","10,081,785 ",Asia,"104,3050",37,,"1,814"
69,Ecuador,"1,000,214",,"35,885 ",,"961,596",+257,"2,733",759,"55,220","1,981","3,082,403","170,173","18,113,361 ",South America,185056,,,151
70,Nepal,"999,355",+39,"12,016 ",,"985,720",+160,"1,619",,"33,063",398,"5,925,000","196,026","30,225,582 ",Asia,"302,5155",1,,54
71,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,"91,3251",,,141
72,Panama,"985,814",,"8,490 ",,"975,064",,"2,260",16,"221,682","1,909","7,037,466","1,582,533","4,446,964 ",North America,55241,,,508
73,Uruguay,"984,152",,"7,473 ",,"975,455",,"1,224",18,"281,507","2,138","6,114,822","1,749,083","3,496,016 ",South America,44681,,,350
74,Mongolia,"981,963",,"2,179 ",,"978,104",+298,"1,680",192,"290,687",645,"4,030,048","1,193,000","3,378,078 ",Asia,"31,5501",,,497
75,Latvia,"917,595","+1,313","5,974 ",+3,"891,237",,"20,384",5,"496,309","3,231","7,607,889","4,114,959","1,848,837 ",Europe,23090,710,2,"11,025"
76,Azerbaijan,"819,588",,"9,886 ",,"808,050",,"1,652",,"79,570",960,"7,217,551","700,719","10,300,205 ",Asia,"131,0421",,,160
77,Saudi Arabia,"815,326",,"9,332  ",,"802,499",,"3,495",40,"22,746",260,"44,253,921","1,234,594","35,844,909 ",Asia,"443,8411",,,98
78,Paraguay,"716,009",,"19,564 ",,"695,352",,"1,093",7,"98,005","2,678","2,657,506","363,751","7,305,843 ",South America,103733,,,150
79,Bahrain,"676,451",,"1,520 ",,"672,489",,"2,442",2,"379,180",852,"10,336,029","5,793,793","1,783,983 ",Asia,"31,1740",,,"1,369"
80,Sri Lanka,"670,617",,"16,748 ",,"653,749",,120,,"31,082",776,"6,486,117","300,619","21,575,842 ",Asia,"321,2883",,,6
81,Kuwait,"657,745",,"2,563 ",,"654,870",,312,3,"150,159",585,"8,350,287","1,906,316","4,380,326 ",Asia,"71,7091",,,71
82,Dominican Republic,"644,016",,"4,384 ",,"638,911",,721,4,"58,248",397,"3,657,057","330,765","11,056,370 ",North America,"172,5223",,,65
83,Palestine,"620,548",,"5,403 ",,"608,749",,"6,396",17,"116,087","1,011","3,078,533","575,907","5,345,541 ",Asia,99892,,,"1,197"
84,Myanmar,"619,167",,"19,448 ",,"595,621",,"4,098",,"11,211",352,"8,934,746","161,782","55,227,143 ",Asia,"892,8406",,,74
85,Estonia,"600,681","+1,189","2,667 ",+6,"524,990",,"73,024",1,"454,404","2,018","3,527,010","2,668,117","1,321,910 ",Europe,24960,899,5,"55,241"
86,Moldova,"583,183",,"11,808 ",,"504,142",,"67,233",49,"145,317","2,942","3,216,305","801,437","4,013,171 ",Europe,73401,,,"16,753"
87,Cyprus,"582,381",,"1,178 ",,"575,850",+250,"5,353",60,"476,040",963,"9,640,118","7,879,860","1,223,387 ",Asia,"21,0390",,,"4,376"
88,Venezuela,"544,248",,"5,812 ",,"537,041",,"1,395",36,"18,596",199,"3,359,014","114,771","29,266,991 ",South America,"545,0369",,,48
89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792","106,156,692 ",Africa,"2064,31329",,,460
90,Libya,"506,932",,"6,437 ",,"500,474",,21,101,"72,000",914,"2,481,261","352,415","7,040,745 ",Africa,"141,0943",,,3
